name,g_aj,g_db,g_vc,g_hs,g_js,g_pg,g_nm,g_df,g_hb,g_dp,g_zf,g_dn,g_pt,g_bl,g_ht,g_zt,g_hy,g_kr,g_ph,g_kd,g_gs,g_gw,g_gsm,g_blm,g_gg,g_cz,g_gpm,g_gp_l,g_gp_a,g_gp_b,g_Asp,g_Thr,g_Ser,g_Glu,g_Pro,g_Gly,g_Ala,g_Cyr,g_Val,g_Met,g_Ile,g_Leu,g_Tyr,g_Phe,g_Lys,g_His,g_Arg,w_hs,w_dn,w_zf,w_jz,w_bl,w_dp,w_sz_l,w_sz_a,w_sz_b
r_g_1,2027.957 ,553.106 ,0.251 ,408.028 ,2.060 ,18.210 ,1.830 ,33.753 ,1119.853 ,0.430 ,23.604 ,22.019 ,9.480 ,3.195 ,17.678 ,208.175 ,237.668 ,226.467 ,3.560 ,5.857 ,38.656 ,25.918 ,182.930 ,123.633 ,4.507 ,78.400 ,0.110 ,24.067 ,0.780 ,0.260 ,101.219 ,393.424 ,77.606 ,266.601 ,723.879 ,177.366 ,89.280 ,24.825 ,15.742 ,17.140 ,6.580 ,10.856 ,3.180 ,5.032 ,18.851 ,9.972 ,70.663 ,973.878 ,11.030 ,9.983 ,8.020 ,2.438 ,0.358 ,2.480 ,16.100 ,3.880 
r_g_2,2128.823 ,626.478 ,0.062 ,224.367 ,9.930 ,4.750 ,0.770 ,30.904 ,762.525 ,0.464 ,26.875 ,23.361 ,13.806 ,4.889 ,27.455 ,205.000 ,229.136 ,228.800 ,3.953 ,5.193 ,44.053 ,25.986 ,81.617 ,98.300 ,3.833 ,77.500 ,0.163 ,26.070 ,0.647 ,-1.250 ,64.425 ,140.617 ,71.942 ,39.264 ,1560.974 ,32.383 ,11.131 ,24.106 ,20.688 ,4.599 ,9.418 ,22.817 ,1.316 ,1.302 ,15.449 ,13.570 ,74.134 ,517.581 ,11.078 ,9.560 ,13.300 ,3.648 ,0.460 ,14.260 ,45.770 ,24.060 
r_g_3,8397.284 ,585.046 ,0.315 ,157.939 ,8.080 ,2.960 ,1.050 ,19.303 ,266.640 ,0.409 ,21.685 ,20.373 ,10.794 ,4.764 ,164.993 ,256.190 ,273.758 ,257.633 ,3.910 ,7.160 ,35.994 ,28.997 ,83.130 ,105.400 ,5.597 ,71.833 ,0.170 ,25.500 ,1.087 ,-0.617 ,108.071 ,222.350 ,173.082 ,67.539 ,7472.284 ,55.787 ,75.344 ,13.180 ,19.596 ,7.845 ,7.818 ,18.169 ,2.765 ,6.271 ,31.206 ,16.514 ,79.867 ,398.770 ,13.259 ,8.549 ,7.368 ,5.246 ,0.396 ,16.390 ,48.040 ,27.560 
r_g_4,2144.685 ,529.823 ,0.097 ,79.685 ,3.770 ,5.230 ,0.550 ,15.534 ,72.905 ,0.266 ,10.698 ,8.638 ,4.482 ,3.412 ,26.968 ,189.722 ,237.766 ,203.333 ,3.290 ,7.107 ,28.610 ,23.721 ,137.970 ,174.700 ,3.263 ,52.967 ,0.174 ,25.983 ,1.840 ,-0.367 ,79.391 ,133.832 ,158.739 ,156.720 ,1182.233 ,93.232 ,89.362 ,46.700 ,21.945 ,6.555 ,15.790 ,20.746 ,2.528 ,6.075 ,18.907 ,17.452 ,72.533 ,183.519 ,6.477 ,5.982 ,4.306 ,2.934 ,0.177 ,42.300 ,59.530 ,26.750 
r_g_5,1843.996 ,585.613 ,0.041 ,120.606 ,9.490 ,3.770 ,1.440 ,31.536 ,143.513 ,0.396 ,17.618 ,14.486 ,10.275 ,0.637 ,6.650 ,209.663 ,195.460 ,212.933 ,3.637 ,6.653 ,32.003 ,24.084 ,515.463 ,254.233 ,2.990 ,65.633 ,0.270 ,26.333 ,0.880 ,-0.333 ,52.281 ,145.090 ,164.047 ,102.426 ,816.080 ,86.832 ,69.537 ,18.645 ,33.668 ,16.464 ,30.482 ,21.688 ,3.380 ,5.303 ,47.770 ,29.738 ,166.897 ,280.190 ,5.849 ,6.034 ,3.644 ,4.997 ,0.207 ,34.460 ,60.160 ,24.050 
r_g_6,3434.168 ,536.643 ,0.075 ,46.186 ,2.830 ,2.210 ,0.000 ,36.774 ,115.943 ,0.275 ,10.671 ,15.173 ,6.838 ,2.203 ,7.727 ,244.385 ,223.817 ,246.133 ,3.287 ,9.313 ,26.427 ,27.376 ,202.237 ,171.967 ,2.637 ,71.933 ,0.193 ,25.163 ,1.807 ,-0.160 ,68.013 ,102.418 ,75.778 ,80.596 ,2932.761 ,18.007 ,19.392 ,23.171 ,12.631 ,2.648 ,10.517 ,7.900 ,2.459 ,2.270 ,10.003 ,9.768 ,43.205 ,117.026 ,7.354 ,5.858 ,4.445 ,4.431 ,0.211 ,56.950 ,54.430 ,23.570 
r_g_7,2391.155 ,487.172 ,0.131 ,60.767 ,5.820 ,7.740 ,0.540 ,25.591 ,433.751 ,0.176 ,9.214 ,5.619 ,3.468 ,0.623 ,9.865 ,209.861 ,303.950 ,211.367 ,3.180 ,8.137 ,25.979 ,26.438 ,63.610 ,168.833 ,4.783 ,71.500 ,0.141 ,25.607 ,2.050 ,-0.380 ,65.099 ,267.759 ,239.203 ,208.972 ,1096.282 ,74.059 ,89.565 ,18.190 ,46.984 ,11.356 ,18.034 ,33.843 ,1.864 ,2.633 ,26.363 ,36.753 ,107.213 ,90.825 ,4.014 ,3.858 ,2.765 ,1.820 ,0.112 ,59.000 ,48.820 ,32.070 
r_g_8,1950.760 ,558.546 ,0.181 ,241.397 ,5.710 ,13.550 ,2.510 ,50.434 ,1305.595 ,0.415 ,15.241 ,22.489 ,8.483 ,5.949 ,115.555 ,198.849 ,196.990 ,226.467 ,2.920 ,6.473 ,34.990 ,25.620 ,213.087 ,181.067 ,6.407 ,59.567 ,0.260 ,26.850 ,0.803 ,-0.510 ,72.086 ,345.872 ,44.233 ,176.021 ,962.011 ,150.732 ,42.630 ,6.426 ,20.839 ,9.798 ,16.220 ,19.379 ,2.580 ,3.419 ,15.929 ,10.111 ,31.633 ,918.688 ,12.028 ,10.137 ,7.748 ,1.016 ,0.346 ,8.600 ,38.860 ,14.680 
r_g_9,2262.724 ,700.828 ,0.512 ,240.843 ,13.230 ,4.120 ,1.100 ,16.869 ,424.108 ,0.666 ,30.114 ,24.362 ,20.490 ,4.907 ,58.541 ,193.690 ,194.925 ,203.367 ,3.740 ,5.883 ,34.576 ,23.761 ,186.617 ,138.067 ,5.307 ,77.967 ,0.130 ,23.810 ,1.440 ,-0.377 ,72.890 ,113.939 ,110.614 ,110.529 ,1334.186 ,95.183 ,42.796 ,7.067 ,33.491 ,15.149 ,24.817 ,26.611 ,5.192 ,8.973 ,32.613 ,34.740 ,160.443 ,387.765 ,12.933 ,11.313 ,9.905 ,3.860 ,0.386 ,14.170 ,46.090 ,24.190 
r_g_10,1364.139 ,545.305 ,10.250 ,44.203 ,2.450 ,2.300 ,0.240 ,10.427 ,459.569 ,0.326 ,9.476 ,16.688 ,4.631 ,12.307 ,28.748 ,167.202 ,161.421 ,181.227 ,3.650 ,6.673 ,27.158 ,19.676 ,255.440 ,200.800 ,4.590 ,71.700 ,0.200 ,27.100 ,2.167 ,-1.120 ,87.523 ,114.293 ,130.865 ,126.713 ,477.496 ,88.142 ,60.497 ,5.755 ,25.306 ,4.003 ,10.562 ,20.047 ,1.206 ,2.972 ,39.045 ,18.532 ,125.875 ,138.714 ,5.567 ,4.343 ,3.145 ,3.246 ,0.136 ,57.090 ,58.060 ,8.000 
