name,g_Acetaldehyde,g_Acetone,g_Acetic acid_methyl ester,g_Ethyl Acetate,g_Butanal_3-methyl-,g_Ethanol,g_Propanoic acid_ethyl ester,g_2-Pentanone,g_Acetic acid_2-methylpropyl ester,g_Trichloromethane,g_Toluene,g_Acetic acid_butyl ester,g_Hexanal,g_1-Propanol_2-methyl-,g_1-Butanol_3-methyl-_acetate,g_o-Xylene,g_á-Pinene,g_Acetic acid_pentyl ester,g_Limonene,g_1-Butanol_3-methyl-,g_2-Hexenal_(E)-,g_Hexanoic acid_ethyl ester,g_1-Pentanol,g_Acetic acid_hexyl ester,g_2-Octanone,g_4-Hexen-1-ol_acetate_(Z)-,g_2-Heptenal_(Z)-,g_1-Hexanol,g_Acetic acid_heptyl ester,g_3-Hexen-1-ol_(Z)-,g_Nonanal,g_2-Hexen-1-ol_(E)-,g_Octanoic acid_ethyl ester,g_1-Octen-3-ol,g_1-Heptanol,g_5-Hepten-2-ol_6-methyl-,g_Acetic cid_octyl ester,g_1-Hexanol_2-ethyl-,g_Nonanoic acid_ethyl ester,g_1-Octanol,g_2-Furancarboxaldehyde_5-methyl-,"g_2,6-Nonadienal_(E,Z)-","g_2-Ethylcyclohexanol,c&t",g_Benzeneacetaldehyde,g_1-Nonanol,"g_2,6-Octadienal_3,7-dimethyl-_(Z)-","g_2,6-Octadienoic acid_3,7-dimethyl-_methyl ester",g_2-Nonen-1-ol_(E)-,g_Naphthalene,"g_6-Octen-1-ol_3,7-dimethyl-_(R)",g_Oxime-_methoxy-phenyl-_,g_Acetic acid_2-phenylethyl ester,g_Benzene_1-methoxy-4-(1-propenyl)-,"g_2,6-Octadien-1-ol_3,7-dimethyl-_(E)-",g_Phenylethyl Alcohol,w_Acetaldehyde,w_Ethyl Acetate,w_Ethanol,"w_Propanoic acid,ethyl ester",w_n-Propyl acetate,"w_Acetic acid, 2-methylpropyl ester","w_Butanoic acid, ethyl ester",w_1-Propanol,"w_2,3-Pentanedione",w_Undecane,"w_1-Propanol, 2-methyl-","w_1-Butanol, 3-methyl-, acetate","w_Acetic acid, pentyl ester",w_Limonene,"w_1-Butanol,3-methyl","w_Hexanoic acid, ethyl ester",w_Styrene,"w_Acetic acid, hexyl ester",w_2-Octanone,w_Tridecane,"w_Heptanoic acid, ethyl ester","w_2-Hexenoic cid, ethyl ester","w_Propanoic acid, 2-hydroxy-, ethyl ester, (S)-",w_1-Hexanol,"w_Acetic acid, heptyl ester","w_Octanoic acid, methyl ester","w_Octanoic acid, ethyl ester",w_Isopentyl hexanoate,w_1-Heptanol,w_Acetic acid,"w_Acetic acid, octyl ster","w_1-Hexanol, 2-ethyl-",w_Geranyl ethyl ether ,w_Propyl octanoate,w_2-Nonanol,"w_Nonanoic acid, ethyl ester","w_1,6-Octadien-3-ol, 3,7-dimethyl-",w_1-Octanol,"w_2-Furancarboxaldehyde, 5-methyl-","w_Decanoic acid, methyl ester","w_1,5,-Octatrien-3-ol, 3,7-dimethyl-","w_Ethanol, 2-(2-ethoxyethoxy)-",w_Butanoic acid,"w_Decanoic acid, ethyl ester","w_Octanoic acid, 3-methylbutyl ester","w_Hexanoic acid, 2-methyl-","w_Butanedioic acid, diethyl ester",w_Ethyltrans-4-decenoate,"w_1-Propanol, 3-(methylthio)-","w_6-Octen-1-ol, 3,7-dimethyl-, (R)-","w_Acetic acid, 2-phenylethyl ester","w_Dodecanoic acid, ethyl ester","w_Pentadecanoic acid, 3-methylbutyl ester",w_Benzyl Alcohol,w_Phenylethyl Alcohol,w_2-Pyrrolidinone,"w_Tetradecanoic acid, ethyl ester",w_Octanoic Acid,"w_1-Propanol, 2-phenoxy-","w_1,1'-Biphenyl, 4-methyl-","w_7-Methoxy-2,2,4,8-tetramethyltricyclo[5.3.1.0(4,11)]undecane",w_2-Methoxy-4-vinylphenol,"w_Hexadecanoic cid, ethyl ester",w_n-Decanoic acid,"w_Phenol, 2,4-bis(1,1-dimethylethyl)-",w_Glycerin,w_Ethyl hydrogen succinate,"w_Benzofuran, 2,3-dihydro-",w_Benzoic Acid,w_Dodecanoic acid,"w_1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",w_Isosorbide,"w_1,4-Benzenediol, 2,5-bis(1,1-dimethylethyl)-"
r_g_1,1.427,7.981,0,18.468,2.039,27.498,0,1.573,0,0.757,0.961,0,34.401,0,0.437,0,0,1.398,0,0.262,22.779,0,0.408,0,2.534,0,0.99,20.915,0,2.097,0.524,7.37,0.058,0.786,0.146,0,0,1.223,0.67,0,0.699,0,0,0,0.233,0,0,0,0.786,0,3.641,0,0,0.146,0.32,1.836,12.113,89.657,0,0,0.498,2.655,0,3.059,3.059,2.046,39.104,0.306,0,0,73.285,2.141,2.268,3.761,0,3.059,0.277,0,2.6,0.277,3.977,72.235,0,3.042,2.753,0,0,0,0.387,0.306,0,0.277,1.806,0.387,2.655,0.306,1.217,0,21.239,3.251,1.549,5.365,3.319,1.53,6.118,2.378,4.314,0.277,2.141,17.865,0.918,0.612,6.416,0,0.918,0.664,0.918,2.753,2.157,0,51.936,3.365,2.447,1.836,1.836,0.111,1.836,1.383
r_g_2,1.601,15.313,0,40.532,7.943,27.424,0.362,0.634,1.782,0.906,0.846,0,12.655,0,0,0,0.211,1.631,0,1.993,6.645,0,0.664,0,2.175,0,0.362,22.501,0,0.815,0.272,5.104,0,0,0,0.181,0,3.564,0.574,0,0.664,0,0,0.091,0.211,0,0.211,0,0.393,0,5.527,0,0,0.302,0.544,1.804,12.132,78.731,0.203,0.773,0.152,2.741,0,0.773,0,1.32,18.68,0,0.515,53.756,34.467,3.607,0.609,3.909,0,5.669,0.558,0.515,2.538,0.152,3.607,63.909,0,2.741,0,0.258,0,7.472,0.406,0.515,0,0.355,2.417,0.609,1.574,0,0.66,0,17.411,3.857,2.147,3.046,4.162,0.773,1.546,1.472,4.01,0.152,0.773,27.208,0.258,0,5.228,0,0,0.508,0,1.031,1.269,0,41.777,2.061,0.773,0,0,0.102,0.515,1.117
r_g_3,0,1.963,2.689,11.396,3.799,21.938,0,6.018,0,3.799,1.75,0,8.152,0.171,0.299,0.427,0.299,0,1.195,6.274,5.378,0.939,1.366,0,2.134,0,1.579,94.836,0,2.39,0.598,32.65,0.171,0.598,4.055,0,0,8.109,2.39,0.939,1.238,1.11,0.128,0.512,0.768,0,0.427,1.024,1.28,0,20.017,2.475,1.024,1.28,3.5,2.101,16.151,76.82,0.586,0.35,0.418,2.51,0,1.05,0,1.967,28.536,1.576,0.875,71.883,21.757,0.35,0.711,0.167,0.175,1.401,0.377,0.35,2.72,0.084,0,31.506,0,2.218,0.525,0,0.35,1.751,0.377,0.525,0.35,0.042,1.301,0.544,0.042,0,0.084,0.7,7.113,0.868,1.111,1.088,2.05,0.525,0.35,1.13,1.841,0.042,0.7,25.649,0,0,2.469,0,0,0.335,0,0,0.418,0,0,0,0,0,0,0.084,0,0.879
r_g_4,0.402,2.25,1.245,33.909,0,69.184,0.281,1.406,0,2.571,1.768,0,0.924,0.121,0,0,0.723,2.411,0,5.504,1.205,0.442,1.808,0,3.937,0,1.045,60.265,0,1.647,0.281,20.048,0,0.964,0.683,1.085,0,1.928,0.924,0.442,1.004,0.121,0.321,0.161,0.804,0,0.161,0.241,0.804,0,13.098,0.562,0.362,1.647,2.129,1.304,16.131,55.198,0.373,0.435,0.42,2.751,0,0,0,1.119,39.58,1.739,1.087,34.732,32.075,2.391,1.911,3.263,1.521,0.435,0.373,0.435,1.166,0.186,1.521,91.235,0,1.212,0,0.217,0,1.304,0.606,1.521,0.652,0.326,1.848,0.42,0.14,0,0.093,0.652,34.918,2.64,0.28,1.305,4.009,0.217,0.435,1.772,5.315,0.14,1.739,8.298,0,0.435,9.51,0,0,0.839,0,0.869,3.17,2.391,0.047,0,0,0,0,0.093,0,1.166
r_g_5,0,1.353,2.455,17.585,0,30.762,0,1.052,0,1.904,0.902,0,0.802,0.15,0,0,0,1.453,0,5.261,1.703,0.551,2.405,0.251,5.311,0,0.752,115.23,0,1.854,0,47.545,0,1.353,0.852,0.802,0,1.703,0.601,0.401,0.651,0,0.301,0.802,0.752,0,0,1.303,0.701,0,8.066,0,0.15,0.902,2.806,1.475,18.642,54.289,0.446,0.492,0.595,3.322,0,0,0,1.289,39.96,1.475,4.67,40.605,41.646,2.212,2.578,3.371,1.966,2.458,0.397,0.492,1.934,0.397,1.229,98.314,0,1.834,0,0.492,0.492,3.933,0.198,1.966,0.983,0.099,5.511,0.446,0.248,0,0.099,0.737,28.508,4.774,0.149,1.14,9.023,0,2.212,1.388,4.71,0.198,2.212,10.957,0,0,9.42,0,0,0.694,0,0.737,2.429,1.721,1.19,0,0,0,0,0.099,0,0.892
r_g_6,1.885,9.133,0,27.273,2.891,17.93,0,1.801,0.712,0.67,0.922,0,21.575,0,0.209,0.209,0,1.634,1.131,1.718,12.945,1.089,0.88,0,2.304,0,0.712,120.444,0,1.382,0.503,23.921,1.215,0.67,0.377,0,0,7.206,0.796,0.126,0.838,0,0.126,0,0.335,0,0,0,1.592,0,7.206,0,0,0.67,0.545,3.512,9.563,76.975,0.728,0,0.364,1.767,0,0.81,0,1.507,33.472,0,1.621,70.478,32.225,2.701,3.119,3.43,0,4.052,0.468,0.81,4.366,0,2.431,81.445,0,2.547,0.54,0.81,0,5.673,0.364,0.54,1.081,0.156,1.611,0.624,0.624,0,0.52,0.81,24.064,2.255,0.884,2.495,2.911,0.81,3.512,2.079,2.131,0.104,0,30.042,0,0,2.651,0,0,0.312,0,0.27,1.195,32.417,0,0.27,0,0,0,0.052,0.54,0.676
r_g_7,1.332,3.774,0,6.881,6.881,52.349,0,2.146,0,3.071,1.554,0,8.953,0.074,0.481,0,0.222,0,0,4.514,11.21,0.518,1.295,0,0.777,0,1.998,49.538,0,1.036,1.369,21.384,0,2.146,2.146,0,0,1.147,1.221,0.592,0.962,0.407,0.518,0.999,0.518,0,0.37,0,0.666,0,13.799,0.333,0,0.629,2.257,1.067,11.345,47.491,0.548,0.356,0.337,2.404,0,0,0,0.928,22.522,0,0.889,29.059,26.824,3.558,0.633,3.374,0,3.38,0.38,0.356,2.615,0,1.423,79.84,0,2.488,0,0,0.356,2.846,0.253,1.601,1.067,0.084,3.404,0.337,0.169,0,0.717,0.534,25.601,3.31,0.464,3.332,8.013,0,1.245,1.223,2.193,0.127,2.668,7.76,0.178,0.356,6.917,0,0,0.717,0,0.889,1.645,42.692,1.392,0.356,0,0,0,0.127,0,1.054
r_g_8,1.942,19.853,0,125.766,15.839,17.523,0,1.856,1.813,0.561,2.417,0,24.687,0,0,0,0,1.467,0,0.863,6.69,0.604,0,0,1.64,0,0,27.622,0,0.518,0.432,7.682,0.043,0,0,0,0,9.107,1.079,0,0.993,0,0,0.388,0.259,0,0,0,0.432,0,9.538,0,0,0.691,0.086,2.897,21.021,81.064,0.723,1.449,0.681,2.511,0,0.905,0,2.128,59.66,2.173,0.362,59.277,18.766,0.905,2.255,2.043,0,0.905,0.34,1.086,2.213,0.128,0,19.489,0,2.085,0.362,0,0,0,0.34,0.543,0,0.213,1.789,0.553,0.085,0,0.085,1.449,3.532,0,0.128,1.489,1.064,0.181,0,4.043,4.255,0.043,0,13.617,0,0,6.298,0,0,0.34,0,0,0.894,0,0,0,0.181,0.181,0,0,0,0.383
r_g_9,0,0,22.038,190.318,0,34.777,0.828,1.72,0.191,0.828,0.637,0,2.739,0.064,0.701,0.191,0.764,0,0.255,6.051,3.503,0.701,1.338,0.892,3.694,0,1.338,84.013,0,3.949,0.573,36.115,0.127,0.573,2.611,2.42,0.255,0.446,0.701,1.847,0.955,0.191,0.127,0.382,0.955,3.503,1.274,1.72,0.955,5.223,7.134,0,0.191,54.013,1.592,1.561,19.876,55.477,0.53,0.585,0.53,2.65,0,0,0,1.237,36.396,1.366,3.122,39.443,32.288,0.975,2.164,3.357,0.39,2.536,0.442,0.78,3.048,0.177,0.78,65.945,0,2.694,0.39,0.585,0.975,1.756,1.325,0.975,0.585,3.048,2.153,0.53,0.133,0.39,0.044,0.585,16.078,1.675,0.883,0.839,5.61,1.171,13.657,1.502,5.477,0.044,0.585,10.645,0,0,6.802,0,0,0.707,0,0.195,1.237,0.585,0.618,0,0,0,0,0.088,0,0.883
r_g_10,0.689,9.958,19.492,63.506,0,20.657,0,3.919,0,4.979,2.489,0,2.331,0.265,0.318,0,0,0,0,6.144,3.072,0.159,1.006,0.53,2.278,0,0.689,90.413,0,2.066,0.371,24.576,0.477,0.847,0.636,0.794,0,28.972,1.854,0.477,1.006,0.159,0,1.43,1.324,0,0.265,0.477,0.953,0,26.165,1.907,1.589,1.907,3.019,1.233,10.876,42.835,0.471,0,0.471,1.924,0,0.308,0,1.099,38.594,0.771,0.617,33.647,27.994,1.696,2.788,3.377,0.462,1.85,0.314,0.462,2.081,0.196,1.079,68.708,0,1.57,0.462,0.308,0.308,0,0.314,0.925,0.617,0.079,2.128,0.51,0.039,0,0.039,0.771,18.767,1.741,0.236,0.432,3.062,0.154,2.466,1.139,2.945,0.039,0,6.517,0,0,7.499,0,0,0.628,0,0,1.924,0.308,0.039,0,0,0,0,0.079,0,1.06
